YearValue,HydroID,Rain
2007,361971,826.4599415
2008,361971,991.3357258
2009,361971,848.0901011
2010,361971,726.6491302
2011,361971,737.3761208
2012,361971,857.7653497
2013,361971,894.8385711
2014,361971,1091.583888
2015,361971,753.4886525
2016,361971,789.4279805
2017,362149,680.6332612
2018,362149,938.7555856
1990,362162,642.7974545
1991,362162,702.5234643
1992,362162,720.8246234
1993,362162,774.161583
1994,362162,1079.214332
1995,362162,819.4169029
1996,362162,688.866539
1997,362162,690.9799478
1998,362162,860.1114704
1999,362162,1137.967136
2000,362162,1159.796804
2001,362162,1050.685047
2002,362162,993.7394415
2003,362162,816.1133418
2004,362162,726.8921001
2005,362162,572.1805802
2006,362162,945.8053533
2007,362162,840.5480373
2008,362162,996.1151509
2009,362162,849.8487269
2010,362162,729.8417703
2011,362162,741.5317079
2012,362162,867.1071571
2013,362162,867.5735702
2014,362162,1079.86696
1990,362536,652.2476454
1991,362536,711.7944338
1992,362536,732.6007326
1993,362536,782.6318343
1994,362536,1084.339962
1995,362536,825.0552787
1996,362536,695.487676
1997,362536,699.5648707
1998,362536,864.4835575
1999,362536,1143.066161
2000,362536,1166.997316
2001,362536,1055.832418
2002,362536,994.609218
2003,362536,823.1265639
2004,362536,728.8523491
2005,362536,579.4279887
2006,362536,951.6377686
2007,362536,839.9408682
2008,362536,998.7814866
2009,362536,853.2568815
2010,362536,737.050031
2011,362536,745.0898578
2012,362536,874.8447151
2013,362536,867.1221949
2014,362536,1085.304971
2015,362536,774.0657027
2016,362536,810.6355383
2013,361195,889.7113776
2014,361195,1063.196394
2015,361195,755.7893464
2016,361195,777.2785922
2017,361195,651.9414817
2018,361195,928.1087001
1990,361210,607.9175178
1991,361210,657.2720581
1992,361210,732.4182987
1993,361210,756.1665381
1994,361210,1052.786726
1995,361210,812.2685035
1996,361210,675.6848066
1997,361210,687.1718754
1998,361210,846.3817182
1999,361210,1091.417096
2000,361210,1095.962474
2001,361210,1007.2928
2002,361210,960.3011504
2003,361210,794.0541227
2004,361210,703.7396726
2005,361210,554.5327507
2006,361210,917.1282879
2007,361210,827.7049397
2008,361210,976.0858956
2009,361210,851.0783162
2010,361210,720.8869793
2017,361734,642.4505634
2018,361734,933.0273004
1990,361759,639.9262805
1991,361759,696.0879855
1992,361759,722.5329114
1993,361759,771.3192645
1994,361759,1075.962987
1995,361759,819.4437616
1996,361759,688.5345231
1997,361759,689.9597064
1998,361759,856.8686592
1999,361759,1123.343069
2000,361759,1150.483203
2001,361759,1046.112645
2002,361759,989.8833917
2003,361759,812.1893376
2004,361759,723.3586991
2005,361759,569.5993438
2006,361759,942.8803108
2007,361759,840.4208828
2008,361759,994.747732
2009,361759,851.8468039
2010,361759,729.405243
2011,361759,738.9672194
2012,361759,863.781636
2013,361759,874.4010353
2014,361759,1076.356748
2015,362162,770.7960782
2016,362162,801.4875609
2017,362162,637.397379
2018,362162,936.7330498
1990,362174,647.1905458
1991,362174,718.2153784
1992,362174,708.5264068
1993,362174,784.8061529
1994,362174,1093.613298
1995,362174,834.0840089
1996,362174,694.3480072
1997,362174,698.450836
1998,362174,865.4112434
1999,362174,1172.058134
2000,362174,1182.95597
2001,362174,1070.595037
2002,362174,1011.920423
2003,362174,835.1288604
2004,362174,735.4347155
2005,362174,581.5305885
2006,362174,962.2046032
2007,362174,855.4466287
2008,362174,1004.237884
2009,362174,850.933474
2010,362174,731.8072712
2011,362174,746.4357692
2012,362174,876.8545474
2011,361210,728.7354982
2012,361210,845.408586
2013,361210,892.1402444
2014,361210,1041.016032
2015,361210,755.732229
2016,361210,766.7300497
2017,361210,645.1862653
2018,361210,922.7135159
1990,361226,616.0290766
1991,361226,665.0616512
1992,361226,743.2844252
1993,361226,765.5092167
1994,361226,1059.344478
1995,361226,815.3015801
1996,361226,684.6595188
1997,361226,695.2749117
1998,361226,846.4820207
1999,361226,1095.218277
2000,361226,1115.64808
2001,361226,1019.243314
2002,361226,962.6862798
2003,361226,794.7862025
2004,361226,707.2736017
2005,361226,550.8913422
2006,361226,924.556213
2007,361226,825.6956486
2008,361226,986.5240811
2017,362311,612.4073734
2018,362311,933.8114448
1990,362405,644.6206408
1991,362405,717.6484097
1992,362405,695.9426543
1993,362405,780.457348
1994,362405,1089.158516
1995,362405,831.4901967
1996,362405,692.0319442
1997,362405,695.7392926
1998,362405,862.6043751
1999,362405,1168.797775
2000,362405,1177.828555
2001,362405,1066.689423
2002,362405,1007.942588
2003,362405,831.3657677
2004,362405,733.6541848
2005,362405,578.9181178
2006,362405,959.5455592
2007,362405,852.20978
2008,362405,1000.30009
2009,362405,848.7955591
2010,362405,728.4382284
2011,362405,742.9641297
2012,362405,872.2045843
2013,362405,880.5452336
2014,362405,1069.724653
2013,362174,869.3988976
2014,362174,1076.565326
2015,362174,779.9095305
2016,362174,812.083807
2017,362174,617.5965612
2018,362174,937.716847
1990,362175,627.651829
1991,362175,677.6261401
1992,362175,751.4841813
1993,362175,773.8500588
1994,362175,1065.439281
1995,362175,813.6431687
1996,362175,691.5820631
1997,362175,701.8725961
1998,362175,848.579478
1999,362175,1103.265666
2000,362175,1134.224077
2001,362175,1031.736206
2002,362175,967.5297032
2003,362175,795.3298233
2004,362175,710.7219514
2005,362175,549.9642523
2006,362175,933.4627735
2007,362175,822.8150147
2008,362175,990.1186162
2009,362175,846.66836
2010,362175,726.6596907
2017,362536,641.7249567
2018,362536,942.915873
1990,362537,651.847989
1991,362537,709.3707881
1992,362537,738.4978953
1993,362537,782.5338446
1994,362537,1083.048131
1995,362537,823.3298753
1996,362537,696.6990399
1997,362537,701.08528
1998,362537,863.7219506
1999,362537,1136.053804
2000,362537,1164.87664
2001,362537,1054.874575
2002,362537,993.0881068
2003,362537,820.9506609
2004,362537,726.8392668
2005,362537,578.0881469
2006,362537,951.2937595
2007,362537,839.4473079
2008,362537,999.2006395
2009,362537,852.7620964
2010,362537,736.4746432
2011,362537,744.0033331
2012,362537,873.1641723
2013,362537,873.8967054
2014,362537,1088.589406
2017,361971,669.4157339
2018,361971,936.3821938
1990,362009,638.6511687
1991,362009,693.000693
1992,362009,740.8944077
1993,362009,774.7133561
1994,362009,1073.329899
1995,362009,815.3680571
1996,362009,691.9266004
1997,362009,697.0389784
1998,362009,855.4319932
1999,362009,1117.093769
2000,362009,1152.9504
2001,362009,1047.010784
2002,362009,984.1938468
2003,362009,807.4283407
2004,362009,718.9692856
2005,362009,562.784206
2006,362009,941.6195857
2007,362009,832.72267
2008,362009,995.8175662
2009,362009,847.6731372
2010,362009,729.4797351
2011,362009,739.6230881
2012,362009,860.5259535
2013,362009,886.2733976
2014,362009,1089.609484
2015,361759,766.3422484
2016,361759,793.5500254
2017,361759,643.2109089
2018,361759,935.2437245
1990,361781,637.8934208
1991,361781,690.7126773
1992,361781,718.5043613
1993,361781,767.1535535
1994,361781,1073.790911
1995,361781,820.3445447
1996,361781,687.4458636
1997,361781,687.2946707
1998,361781,855.7101539
1999,361781,1115.971788
2000,361781,1142.883266
2001,361781,1041.23282
2002,361781,988.5721064
2003,361781,810.2283223
2004,361781,722.5224704
2005,361781,569.1714003
2006,361781,939.8142927
2007,361781,840.1102225
2008,361781,992.122547
2009,361781,855.3880896
2010,361781,729.9589763
2011,361781,737.8549082
2012,361781,864.1847281
2017,361383,658.0072907
2018,361383,932.7488107
1990,362751,643.8984186
1991,362751,722.2511123
1992,362751,704.6123927
1993,362751,782.2277847
1994,362751,1091.059856
1995,362751,830.0546176
1996,362751,691.2760957
1997,362751,695.6231392
1998,362751,863.4534685
1999,362751,1172.827923
2000,362751,1182.284647
2001,362751,1067.600461
2002,362751,1008.735651
2003,362751,833.2777815
2004,362751,733.42819
2005,362751,578.2619758
2006,362751,958.7176193
2007,362751,851.9338899
2008,362751,1002.747528
2009,362751,848.4786777
2010,362751,730.129525
2011,362751,744.4907683
2012,362751,876.6393155
2013,362751,873.8967054
2014,362751,1072.662133
2011,362175,736.2360667
2012,362175,858.7671539
2013,362175,897.1506495
2014,362175,1100.933592
2015,362175,751.1342127
2016,362175,792.5814377
2017,362175,676.2331111
2018,362175,938.0335066
1990,362176,624.3210509
1991,362176,672.2960254
1992,362176,756.3152322
1993,362176,775.2779371
1994,362176,1063.060765
1995,362176,813.2461533
1996,362176,692.8662491
1997,362176,705.059507
1998,362176,845.1942256
1999,362176,1099.843822
2000,362176,1126.329068
2001,362176,1024.548174
2002,362176,958.883093
2003,362176,789.353204
2004,362176,707.3236289
2005,362176,545.2205963
2006,362176,931.2027415
2007,362176,818.987404
2008,362176,987.2642907
2015,362405,777.0128518
2016,362405,809.0876727
2017,362405,612.4073734
2018,362405,933.8114448
1990,362416,643.4426757
1991,362416,701.1737649
1992,362416,731.8286935
1993,362416,776.445742
1994,362416,1078.190365
1995,362416,819.0276504
1996,362416,691.6011951
1997,362416,694.7821858
1998,362416,858.2217645
1999,362416,1126.938334
2000,362416,1157.541382
2001,362416,1050.596739
2002,362416,990.5501516
2003,362416,814.1068434
2004,362416,723.2645268
2005,362416,570.8674902
2006,362416,946.1812126
2007,362416,840.1525717
2008,362416,997.7849175
2009,362416,849.588799
2010,362416,730.5455714
2011,362416,740.2362834
2012,362416,864.6031472
2013,362416,876.7007996
2014,362416,1083.916842
2015,362416,765.9783075
2016,362416,797.5372051
2017,362416,648.1721545
2018,362416,938.4560521
1990,362426,644.6206408
1991,362426,717.6484097
1992,362426,695.9426543
1993,362426,780.457348
1994,362426,1089.158516
1995,362426,831.4901967
1996,362426,692.0319442
1997,362426,695.7392926
1998,362426,862.6043751
1999,362426,1168.797775
2000,362426,1177.828555
2001,362426,1066.689423
2002,362426,1007.942588
2003,362426,831.3657677
2004,362426,733.6541848
2005,362426,578.9181178
2006,362426,959.5455592
2007,362426,852.20978
2008,362426,1000.30009
2009,362426,848.7955591
2010,362426,728.4382284
2017,361521,657.9207074
2018,361521,933.3059564
1990,363172,638.8470089
1991,363172,688.8095993
1992,363172,772.7616957
1993,363172,785.8422657
1994,363172,1071.535725
1995,363172,813.4975514
1996,363172,702.0401286
1997,363172,714.816721
1998,363172,850.9769215
1999,363172,1105.485419
2000,363172,1133.529812
2001,363172,1025.388622
2002,363172,954.071021
2003,363172,785.1882096
2004,363172,705.337998
2005,363172,544.6504433
2006,363172,938.8437201
2007,363172,812.0046771
2008,363172,984.4069932
2009,363172,836.974171
2010,363172,731.0903481
2011,363172,727.6537532
2012,363172,858.0450302
2013,363172,900.8846687
2014,363172,1110.469507
2015,362537,771.628754
2016,362537,808.3028873
2017,362537,648.6598687
2018,362537,943.3428297
1990,362564,643.8984186
1991,362564,722.2511123
1992,362564,704.6123927
1993,362564,782.2277847
1994,362564,1091.059856
1995,362564,830.0546176
1996,362564,691.2760957
1997,362564,695.6231392
1998,362564,863.4534685
1999,362564,1172.827923
2000,362564,1182.284647
2001,362564,1067.600461
2002,362564,1008.735651
2003,362564,833.2777815
2004,362564,733.42819
2005,362564,578.2619758
