YearValue,HydroID,Atm,Min,Man,Fix,Soil,Sd,Ps
1990,361076,9.608,28.111,21.379,2.909,2.108,0.514,0.314
1991,361076,9.608,28.295,20.318,2.888,2.108,0.589,0.251
1992,361076,9.608,26.482,21.514,2.917,2.108,0.665,0.188
1993,361076,9.608,24.06,19.861,2.868,2.108,0.741,0.126
1994,361076,9.608,23.725,20.199,2.89,2.108,0.816,0.063
1995,361076,9.608,24.271,21.772,2.83,2.108,0.892,0
1996,361076,9.608,26.361,22.81,2.864,2.108,0.951,0
1997,361076,9.608,28.129,20.774,3.105,2.108,1.01,0
1998,361076,9.608,28.528,20.219,3.18,2.108,1.069,0
1999,361076,9.608,28.211,18.997,3.081,2.108,1.127,0
2000,361076,9.608,30.623,18.406,3.155,2.108,1.186,0
2001,361076,9.345,30.18,17.4,3.304,2.108,1.119,0.083
2002,361076,9.098,27.987,18.774,3.275,2.108,1.051,0.166
2003,361076,8.398,27.52,19.207,3.378,2.108,0.983,0.249
2004,361076,8.336,27.864,19.44,3.223,2.108,0.915,0.332
2005,361076,8.059,26.707,19.678,3.102,2.108,0.847,0.414
2006,361076,8.948,23.227,20.757,3.138,2.108,0.881,0.376
2007,361076,8.848,23.33,20.538,2.512,2.108,0.914,0.338
2008,361076,7.91,23.153,21.247,2.482,2.108,0.948,0.3
2009,361076,8.18,19.611,23.803,2.867,2.108,0.982,0.262
2010,361076,7.713,21.434,22.843,3.266,2.096,1.015,0.224
2011,361076,7.456,22.444,22.281,2.374,2.096,0.953,0.187
2012,361076,7.482,25.096,20.734,2.35,2.096,0.891,0.149
2013,361076,8.753,23.207,21.424,2.351,2.096,0.829,0.112
2014,361076,7.753,25.41,18.686,2.308,2.096,0.766,0.075
2015,361076,7.539,24.829,22.218,2.51,2.096,0.704,0.037
2016,361076,7.073,24.866,22.251,2.513,2.096,0.642,0
1990,361521,39.193,133.727,101.702,13.84,10.028,5.63,0
1991,361521,39.193,134.602,96.656,13.738,10.028,5.204,0.419
1992,361521,39.193,125.978,102.345,13.879,10.028,4.779,0.837
1993,361521,39.193,114.457,94.482,13.643,10.028,4.354,1.256
1994,361521,39.193,112.862,96.089,13.747,10.028,3.929,1.675
1995,361521,39.193,115.461,103.572,13.462,10.028,3.503,2.094
1996,361521,39.193,125.053,108.206,13.584,10,3.801,2.113
1997,361521,39.193,133.44,98.55,14.729,10,4.098,2.132
1998,361521,39.193,135.334,95.917,15.087,10,4.395,2.151
1999,361521,39.193,133.827,90.119,14.618,10,4.693,2.17
2000,361521,39.193,145.27,87.313,14.967,10,4.99,2.189
2001,361521,38.112,143.17,82.545,15.674,10,5.094,2.113
2002,361521,37.178,132.764,89.06,15.534,10,5.197,2.037
2003,361521,34.229,130.549,91.116,16.027,10,5.301,1.961
2004,361521,34.066,129.536,90.375,14.985,9.8,5.404,1.886
2005,361521,32.876,124.161,91.481,14.423,9.8,5.508,1.81
2006,361521,36.568,107.98,96.498,14.591,9.8,5.729,1.73
2007,361521,36.022,108.461,95.482,11.679,9.8,5.95,1.651
2008,361521,32.264,107.635,98.778,11.537,9.8,6.171,1.571
2009,361521,33.298,91.171,110.661,13.329,9.8,6.392,1.492
2010,361521,31.444,99.969,106.542,15.233,9.776,6.613,1.412
2011,361521,30.357,104.683,103.921,11.074,9.776,5.831,1.177
2012,361521,30.409,117.053,96.707,10.96,9.776,5.049,0.942
2013,361521,35.64,108.24,99.922,10.965,9.776,4.267,0.706
2014,361521,31.454,118.514,87.156,10.767,9.776,3.485,0.471
2015,361521,30.73,115.807,103.626,11.706,9.776,2.704,0.235
2016,361521,28.798,115.979,103.78,11.723,9.776,1.922,0
1990,362311,1.504,5.014,3.813,0.519,0.376,1.131,0.869
1991,362311,1.504,5.047,3.624,0.515,0.376,0.962,0.933
1992,362311,1.504,4.724,3.837,0.52,0.376,0.792,0.996
1993,362311,1.504,4.292,3.543,0.512,0.376,0.623,1.06
1994,362311,1.504,4.232,3.603,0.515,0.376,0.453,1.124
1995,362311,1.504,4.329,3.883,0.505,0.376,0.284,1.187
1996,362311,1.504,4.702,4.069,0.511,0.376,0.271,1.205
1997,362311,1.504,5.017,3.705,0.554,0.376,0.258,1.222
1998,362311,1.504,5.089,3.606,0.567,0.376,0.245,1.239
1999,362311,1.504,5.032,3.388,0.55,0.376,0.232,1.257
2000,362311,1.504,5.462,3.283,0.563,0.376,0.219,1.274
2001,362311,1.444,5.383,3.104,0.589,0.376,0.219,1.274
2002,362311,1.498,4.992,3.349,0.584,0.376,0.219,1.274
2003,362311,1.378,4.909,3.426,0.603,0.376,0.219,1.274
2004,362311,1.438,4.547,3.172,0.526,0.344,0.219,1.274
2005,362311,1.32,4.358,3.211,0.506,0.344,0.219,1.274
2006,362311,1.585,3.79,3.387,0.512,0.344,0.175,1.276
2007,362311,1.404,3.807,3.352,0.41,0.344,0.132,1.278
2008,362311,1.281,3.778,3.467,0.405,0.344,0.088,1.28
2009,362311,1.304,3.2,3.884,0.468,0.344,0.044,1.282
2010,362311,1.287,3.436,3.662,0.524,0.336,0,1.284
2011,362311,1.233,3.598,3.572,0.381,0.336,0,1.07
2012,362311,1.151,4.023,3.324,0.377,0.336,0,0.856
2013,362311,1.344,3.72,3.434,0.377,0.336,0,0.642
2014,362311,1.219,4.073,2.996,0.37,0.336,0,0.428
2015,362311,1.255,3.98,3.562,0.402,0.336,0,0.214
2016,362311,1.127,3.986,3.567,0.403,0.336,0,0
2017,361076,7.089,20.521,28.502,2.516,2.096,0.642,0
2018,361076,8.492,20.521,28.502,2.516,2.096,0.642,0
1990,361187,8.246,28.591,21.744,2.959,2.144,1.718,1.531
1991,361187,8.246,28.778,20.665,2.937,2.144,1.654,1.478
1992,361187,8.246,26.934,21.882,2.967,2.144,1.59,1.424
1993,361187,8.246,24.471,20.2,2.917,2.144,1.527,1.37
1994,361187,8.246,24.13,20.544,2.939,2.144,1.463,1.316
1995,361187,8.246,24.686,22.144,2.878,2.144,1.399,1.262
1996,361187,8.246,26.361,22.81,2.864,2.108,1.466,1.268
1997,361187,8.246,28.129,20.774,3.105,2.108,1.533,1.275
1998,361187,8.246,28.528,20.219,3.18,2.108,1.6,1.281
1999,361187,8.246,28.211,18.997,3.081,2.108,1.667,1.288
2000,361187,8.246,30.623,18.406,3.155,2.108,1.734,1.294
2001,361187,8.02,30.18,17.4,3.304,2.108,1.561,1.507
2002,361187,7.809,27.987,18.774,3.275,2.108,1.388,1.719
2003,361187,7.208,27.52,19.207,3.378,2.108,1.215,1.932
2004,361187,7.154,26.383,18.407,3.052,1.996,1.042,2.145
2005,361187,6.917,25.288,18.632,2.938,1.996,0.869,2.357
2006,361187,7.68,21.993,19.654,2.972,1.996,0.894,2.302
2007,361187,7.594,22.091,19.447,2.379,1.996,0.919,2.247
2008,361187,6.789,21.922,20.118,2.35,1.996,0.944,2.193
2009,361187,7.021,18.569,22.539,2.715,1.996,0.969,2.138
2010,361187,6.62,20.288,21.622,3.091,1.984,0.995,2.083
2011,361187,6.399,21.245,21.09,2.247,1.984,0.873,1.736
2012,361187,6.421,23.755,19.626,2.224,1.984,0.752,1.389
2013,361187,7.513,21.967,20.279,2.225,1.984,0.631,1.041
2014,361187,6.654,24.052,17.688,2.185,1.984,0.51,0.694
1990,361383,1.906,6.721,5.111,0.696,0.504,0.069,0.654
1991,361383,1.906,6.765,4.858,0.69,0.504,0.175,0.523
1992,361383,1.906,6.332,5.144,0.698,0.504,0.282,0.392
1993,361383,1.906,5.753,4.749,0.686,0.504,0.388,0.261
1994,361383,1.906,5.672,4.829,0.691,0.504,0.495,0.131
1995,361383,1.906,5.803,5.205,0.677,0.504,0.601,0
1996,361383,1.906,6.303,5.454,0.685,0.504,0.601,0.007
1997,361383,1.906,6.725,4.967,0.742,0.504,0.601,0.013
1998,361383,1.906,6.821,4.834,0.76,0.504,0.601,0.02
1999,361383,1.906,6.745,4.542,0.737,0.504,0.6,0.026
2000,361383,1.906,7.322,4.401,0.754,0.504,0.6,0.033
2001,361383,1.854,7.216,4.16,0.79,0.504,0.598,0.026
2002,361383,1.805,6.691,4.489,0.783,0.504,0.596,0.02
2003,361383,1.666,6.58,4.592,0.808,0.504,0.593,0.013
2004,361383,1.654,6.662,4.648,0.771,0.504,0.591,0.007
2005,361383,1.599,6.385,4.705,0.742,0.504,0.589,0
2006,361383,1.776,5.553,4.963,0.75,0.504,0.59,0
2007,361383,1.756,5.578,4.911,0.601,0.504,0.59,0
2008,361383,1.57,5.536,5.08,0.593,0.504,0.591,0
2009,361383,1.623,4.689,5.691,0.686,0.504,0.592,0
2010,361383,1.53,5.154,5.493,0.785,0.504,0.592,0
2011,361383,1.479,5.397,5.358,0.571,0.504,0.509,0
2012,361383,1.485,6.035,4.986,0.565,0.504,0.425,0
2013,361383,1.737,5.58,5.151,0.565,0.504,0.341,0
2014,361383,1.538,6.11,4.493,0.555,0.504,0.257,0
2015,361383,1.496,5.97,5.342,0.603,0.504,0.173,0
2016,361383,1.403,5.979,5.35,0.604,0.504,0.09,0
1990,362149,10.077,35.205,26.774,3.643,2.64,0.424,0.023
1991,362149,10.077,35.436,25.446,3.617,2.64,0.459,0.018
1992,362149,10.077,33.165,26.944,3.654,2.64,0.494,0.014
1993,362149,10.077,30.132,24.874,3.592,2.64,0.529,0.009
1994,362149,10.077,29.712,25.297,3.619,2.64,0.564,0.005
1995,362149,10.077,30.397,27.267,3.544,2.64,0.598,0
1996,362149,10.077,33.014,28.566,3.586,2.64,0.615,0.053
1997,362149,10.077,35.228,26.017,3.888,2.64,0.632,0.106
1998,362149,10.077,35.728,25.322,3.983,2.64,0.648,0.16
1999,362149,10.077,35.33,23.791,3.859,2.64,0.665,0.213
2000,362149,10.077,38.351,23.051,3.951,2.64,0.681,0.266
2001,362149,9.765,37.797,21.792,4.138,2.64,0.71,0.248
2002,362149,9.5,35.05,23.512,4.101,2.64,0.739,0.229
2003,362149,9.036,34.465,24.055,4.231,2.64,0.768,0.211
2004,362149,8.837,34.895,24.346,4.037,2.64,0.797,0.192
2005,362149,8.576,33.447,24.644,3.885,2.64,0.826,0.174
2006,362149,9.484,29.088,25.995,3.931,2.64,0.878,0.143
2007,362149,9.438,29.218,25.722,3.146,2.64,0.929,0.111
2008,362149,8.473,28.996,26.609,3.108,2.64,0.98,0.08
2009,362149,8.54,24.56,29.811,3.591,2.64,1.031,0.049
2010,362149,8.212,26.874,28.641,4.095,2.628,1.082,0.018
2011,362149,7.906,28.141,27.936,2.977,2.628,1.017,0.015
2012,362149,7.967,31.466,25.997,2.946,2.628,0.951,0.012
2013,362149,9.234,29.097,26.861,2.948,2.628,0.886,0.009
2014,362149,8.224,31.859,23.429,2.894,2.628,0.82,0.006
2015,362149,7.938,31.132,27.857,3.147,2.628,0.754,0.003
2016,362149,7.53,31.178,27.898,3.151,2.628,0.689,0
1990,361734,5.232,7.094,5.395,0.734,0.532,0.063,0
1991,361734,5.232,7.141,5.128,0.729,0.532,0.063,0
1992,361734,5.232,6.683,5.43,0.736,0.532,0.063,0
1993,361734,5.232,6.072,5.012,0.724,0.532,0.063,0
1994,361734,5.232,5.987,5.098,0.729,0.532,0.063,0
1995,361734,5.232,6.125,5.495,0.714,0.532,0.063,0
1996,361734,5.232,6.653,5.757,0.723,0.532,0.054,0.014
1997,361734,5.232,7.099,5.243,0.784,0.532,0.046,0.028
1998,361734,5.232,7.2,5.103,0.803,0.532,0.037,0.042
1999,361734,5.232,7.12,4.794,0.778,0.532,0.028,0.056
2000,361734,5.232,7.728,4.645,0.796,0.532,0.019,0.071
2001,361734,5.09,7.617,4.391,0.834,0.532,0.022,0.07
2002,361734,5.01,7.063,4.738,0.826,0.532,0.025,0.069
2003,361734,4.551,6.945,4.847,0.853,0.532,0.028,0.068
2004,361734,4.596,6.979,4.869,0.807,0.528,0.031,0.067
2005,361734,4.397,6.689,4.929,0.777,0.528,0.034,0.066
2006,361734,4.93,5.818,5.199,0.786,0.528,0.05,0.053
2007,361734,4.755,5.844,5.144,0.629,0.528,0.066,0.039
2008,361734,4.311,5.799,5.322,0.622,0.528,0.082,0.026
2009,361734,4.391,4.912,5.962,0.718,0.528,0.098,0.013
2010,361734,4.179,5.399,5.754,0.823,0.528,0.114,0
2011,361734,4.011,5.654,5.613,0.598,0.528,0.116,0
2012,361734,3.983,6.322,5.223,0.592,0.528,0.118,0
2013,361734,4.707,5.846,5.397,0.592,0.528,0.12,0
2014,361734,4.072,6.401,4.707,0.582,0.528,0.122,0
2015,361734,4.079,6.255,5.597,0.632,0.528,0.124,0
2016,361734,3.807,6.264,5.605,0.633,0.528,0.126,0
2015,361187,6.47,23.503,21.03,2.376,1.984,0.389,0.347
2016,361187,6.07,23.3,20.849,2.355,1.964,0.268,0
2017,361187,6.084,19.229,26.707,2.358,1.964,0.268,0
2018,361187,7.288,19.229,26.707,2.358,1.964,0.268,0
1990,361195,14.737,51.955,39.512,5.377,3.896,1.185,0.172
1991,361195,14.737,52.294,37.552,5.338,3.896,1.224,0.164
1992,361195,14.737,48.944,39.762,5.392,3.896,1.263,0.157
1993,361195,14.737,44.468,36.707,5.301,3.896,1.302,0.149
1994,361195,14.737,43.848,37.332,5.341,3.896,1.341,0.141
1995,361195,14.737,44.858,40.239,5.23,3.896,1.38,0.134
1996,361195,14.737,48.721,42.157,5.292,3.896,1.431,0.204
1997,361195,14.737,51.988,38.395,5.738,3.896,1.482,0.274
1998,361195,14.737,52.726,37.369,5.878,3.896,1.533,0.344
1999,361195,14.737,52.139,35.11,5.695,3.896,1.584,0.413
2000,361195,14.737,56.597,34.017,5.831,3.896,1.635,0.483
2001,361195,14.334,55.779,32.159,6.107,3.896,1.72,0.409
2002,361195,13.956,51.725,34.698,6.052,3.896,1.805,0.335
2003,361195,12.881,50.862,35.499,6.244,3.896,1.889,0.261
2004,361195,12.786,51.497,35.929,5.957,3.896,1.974,0.187
2005,361195,12.362,49.36,36.368,5.734,3.896,2.059,0.113
2006,361195,13.725,42.927,38.363,5.801,3.896,2.127,0.09
2007,361195,13.571,43.119,37.959,4.643,3.896,2.196,0.068
2008,361195,12.134,42.791,39.269,4.587,3.896,2.264,0.045
2009,361195,12.547,36.245,43.993,5.299,3.896,2.333,0.023
2010,361195,11.831,39.84,42.46,6.071,3.896,2.401,0
2011,361195,11.436,41.719,41.415,4.413,3.896,2.167,0
2012,361195,11.476,46.649,38.54,4.368,3.896,1.933,0
1990,361971,27.934,98.362,74.806,10.18,7.376,4.55,2.128
1991,361971,27.934,99.005,71.094,10.105,7.376,4.541,2.008
1992,361971,27.934,92.662,75.279,10.208,7.376,4.533,1.888
1993,361971,27.934,84.188,69.495,10.035,7.376,4.524,1.768
1994,361971,27.934,83.014,70.678,10.111,7.376,4.516,1.648
1995,361971,27.934,84.927,76.181,9.902,7.376,4.507,1.528
1996,361971,27.934,92.139,79.726,10.009,7.368,4.29,1.79
1997,361971,27.934,98.319,72.612,10.852,7.368,4.073,2.052
1998,361971,27.934,99.714,70.671,11.116,7.368,3.857,2.314
1999,361971,27.934,98.604,66.4,10.77,7.368,3.64,2.576
2000,361971,27.934,107.035,64.332,11.028,7.368,3.423,2.838
2001,361971,26.953,105.487,60.819,11.548,7.368,3.334,2.819
2002,361971,26.499,97.82,65.62,11.445,7.368,3.246,2.8
2003,361971,24.509,96.189,67.134,11.809,7.368,3.158,2.781
2004,361971,24.319,95.169,66.398,11.009,7.2,3.069,2.762
2005,361971,23.293,91.22,67.211,10.596,7.2,2.981,2.743
2006,361971,26.063,79.332,70.896,10.72,7.2,3.058,2.703
2007,361971,25.806,79.686,70.15,8.581,7.2,3.135,2.663
2008,361971,22.9,79.079,72.571,8.476,7.2,3.212,2.623
2009,361971,23.653,66.983,81.302,9.793,7.2,3.29,2.583
2010,361971,22.487,73.341,78.163,11.175,7.172,3.367,2.543
2011,361971,21.622,76.799,76.24,8.124,7.172,2.949,2.119
2012,361971,21.589,85.874,70.948,8.041,7.172,2.531,1.695
2013,361971,25.388,79.408,73.306,8.045,7.172,2.114,1.272
2014,361971,22.427,86.946,63.941,7.899,7.172,1.696,0.848
2015,361971,22.004,84.96,76.024,8.588,7.172,1.278,0.424
2016,361971,20.488,84.897,75.967,8.581,7.156,0.86,0
2017,362149,7.516,25.73,35.736,3.155,2.628,0.689,0
2018,362149,8.99,25.73,35.736,3.155,2.628,0.689,0
1990,362162,1.051,4.321,3.286,0.447,0.324,0.03,0
1991,362162,1.051,4.349,3.123,0.444,0.324,0.031,0
1992,362162,1.051,4.07,3.307,0.448,0.324,0.032,0
1993,362162,1.051,3.698,3.053,0.441,0.324,0.033,0
1994,362162,1.051,3.647,3.105,0.444,0.324,0.034,0
1995,362162,1.051,3.731,3.346,0.435,0.324,0.036,0
1996,362162,1.051,4.052,3.506,0.44,0.324,0.034,0.004
1997,362162,1.051,4.323,3.193,0.477,0.324,0.033,0.008
1998,362162,1.051,4.385,3.108,0.489,0.324,0.031,0.012
1999,362162,1.051,4.336,2.92,0.474,0.324,0.03,0.017
2000,362162,1.051,4.707,2.829,0.485,0.324,0.028,0.021
2001,362162,1.002,4.639,2.674,0.508,0.324,0.033,0.017
2002,362162,1.011,4.302,2.886,0.503,0.324,0.037,0.012
2003,362162,0.913,4.23,2.952,0.519,0.324,0.042,0.008
2004,362162,0.956,4.283,2.988,0.495,0.324,0.046,0.004
2005,362162,0.881,4.105,3.024,0.477,0.324,0.051,0
2006,362162,1.038,3.57,3.19,0.482,0.324,0.054,0
2007,362162,0.966,3.586,3.157,0.386,0.324,0.057,0
2008,362162,0.874,3.559,3.266,0.381,0.324,0.061,0
2009,362162,0.882,3.014,3.659,0.441,0.324,0.064,0
2010,362162,0.854,3.313,3.531,0.505,0.324,0.067,0
2011,362162,0.804,3.469,3.444,0.367,0.324,0.068,0
2012,362162,0.785,3.879,3.205,0.363,0.324,0.069,0
2013,362162,0.954,3.587,3.312,0.363,0.324,0.07,0
2014,362162,0.797,3.928,2.889,0.357,0.324,0.071,0
1990,362536,26.068,105.19,79.998,10.886,7.888,2.774,0
1991,362536,26.068,105.877,76.029,10.807,7.888,2.475,0.277
1992,362536,26.068,99.094,80.505,10.917,7.888,2.177,0.554
1993,362536,26.068,90.031,74.319,10.732,7.888,1.879,0.832
1994,362536,26.068,88.777,75.584,10.813,7.888,1.581,1.109
1995,362536,26.068,90.822,81.469,10.589,7.888,1.282,1.386
1996,362536,26.068,97.992,84.79,10.645,7.836,1.329,1.485
1997,362536,26.068,104.564,77.224,11.541,7.836,1.376,1.583
1998,362536,26.068,106.047,75.16,11.823,7.836,1.423,1.682
1999,362536,26.068,104.867,70.617,11.455,7.836,1.47,1.781
2000,362536,26.068,113.833,68.419,11.728,7.836,1.517,1.879
2001,362536,24.848,112.188,64.682,12.282,7.836,1.606,1.798
2002,362536,25.069,104.034,69.788,12.172,7.836,1.695,1.716
2003,362536,22.654,102.298,71.399,12.559,7.836,1.784,1.635
2004,362536,23.717,103.576,72.263,11.982,7.836,1.874,1.553
2005,362536,21.859,99.278,73.148,11.532,7.836,1.963,1.472
2006,362536,25.74,86.34,77.159,11.667,7.836,2.127,1.353
2007,362536,23.957,86.725,76.347,9.338,7.836,2.29,1.235
2008,362536,21.677,86.064,78.982,9.225,7.836,2.454,1.117
2009,362536,21.874,72.9,88.483,10.658,7.836,2.618,0.998
2010,362536,21.176,80.131,85.399,12.21,7.836,2.782,0.88
2011,362536,19.931,83.91,83.298,8.877,7.836,2.602,0.733
2012,362536,19.469,93.824,77.516,8.785,7.836,2.422,0.586
2013,362536,23.67,86.76,80.093,8.789,7.836,2.243,0.44
2014,362536,19.762,94.995,69.86,8.63,7.836,2.063,0.293
2015,362536,21.06,92.826,83.062,9.383,7.836,1.883,0.147
2016,362536,18.89,92.916,83.143,9.392,7.832,1.703,0
2013,361195,13.426,43.137,39.822,4.37,3.896,1.699,0
2014,361195,11.892,47.231,34.734,4.291,3.896,1.465,0
2015,361195,11.563,46.152,41.298,4.665,3.896,1.231,0
2016,361195,10.849,46.221,41.359,4.672,3.896,0.997,0
2017,361195,10.873,38.144,52.978,4.677,3.896,0.997,0
2018,361195,13.025,38.144,52.978,4.677,3.896,0.997,0
1990,361210,1.347,4.267,3.245,0.442,0.32,0.017,0.429
1991,361210,1.347,4.295,3.084,0.438,0.32,0.09,0.344
1992,361210,1.347,4.02,3.266,0.443,0.32,0.163,0.258
1993,361210,1.347,3.652,3.015,0.435,0.32,0.236,0.172
1994,361210,1.347,3.601,3.066,0.439,0.32,0.309,0.086
1995,361210,1.347,3.684,3.305,0.43,0.32,0.382,0
1996,361210,1.347,4.002,3.463,0.435,0.32,0.385,0
1997,361210,1.347,4.27,3.154,0.471,0.32,0.389,0
1998,361210,1.347,4.331,3.069,0.483,0.32,0.393,0
1999,361210,1.347,4.282,2.884,0.468,0.32,0.396,0
2000,361210,1.347,4.649,2.794,0.479,0.32,0.4,0
2001,361210,1.31,4.581,2.641,0.502,0.32,0.392,0.009
2002,361210,1.275,4.248,2.85,0.497,0.32,0.385,0.019
2003,361210,1.177,4.178,2.916,0.513,0.32,0.377,0.028
2004,361210,1.168,4.018,2.803,0.465,0.304,0.37,0.038
2005,361210,1.13,3.852,2.838,0.447,0.304,0.362,0.047
2006,361210,1.254,3.35,2.993,0.453,0.304,0.373,0.039
2007,361210,1.24,3.365,2.962,0.362,0.304,0.385,0.031
2008,361210,1.109,3.339,3.064,0.358,0.304,0.396,0.023
2009,361210,1.147,2.828,3.433,0.413,0.304,0.407,0.015
2010,361210,1.081,2.863,3.052,0.436,0.28,0.418,0.006
2017,361734,3.763,5.169,7.18,0.634,0.528,0.126,0
2018,361734,4.546,5.169,7.18,0.634,0.528,0.126,0
1990,361759,19.33,73.078,55.577,7.563,5.48,0.967,0
1991,361759,19.33,73.556,52.82,7.508,5.48,1.012,0.005
1992,361759,19.33,68.843,55.929,7.584,5.48,1.056,0.009
1993,361759,19.33,62.547,51.631,7.456,5.48,1.101,0.014
1994,361759,19.33,61.676,52.51,7.512,5.48,1.146,0.019
1995,361759,19.33,63.096,56.599,7.357,5.48,1.191,0.023
1996,361759,19.33,68.529,59.297,7.444,5.48,1.143,0.214
1997,361759,19.33,73.125,54.005,8.071,5.48,1.096,0.405
1998,361759,19.33,74.163,52.562,8.268,5.48,1.049,0.596
1999,361759,19.33,73.337,49.385,8.011,5.48,1.002,0.787
2000,361759,19.33,79.608,47.848,8.202,5.48,0.954,0.977
2001,361759,18.525,78.457,45.234,8.589,5.48,1.048,0.908
2002,361759,18.513,72.755,48.805,8.513,5.48,1.142,0.84
2003,361759,16.744,71.541,49.932,8.783,5.48,1.236,0.771
2004,361759,17.248,72.382,50.499,8.373,5.476,1.33,0.702
2005,361759,16.125,69.378,51.117,8.059,5.476,1.423,0.633
2006,361759,18.735,60.336,53.921,8.153,5.476,1.526,0.584
2007,361759,17.597,60.605,53.353,6.526,5.476,1.628,0.534
2008,361759,16.023,60.144,55.195,6.447,5.476,1.73,0.484
2009,361759,16.115,50.944,61.835,7.448,5.476,1.833,0.434
2010,361759,15.531,55.998,59.679,8.533,5.476,1.935,0.384
2011,361759,14.765,58.638,58.211,6.203,5.476,1.913,0.32
2012,361759,14.544,65.567,54.17,6.139,5.476,1.891,0.256
2013,361759,17.473,60.63,55.971,6.142,5.476,1.869,0.192
2014,361759,14.775,66.385,48.82,6.031,5.476,1.846,0.128
2015,362162,0.849,3.838,3.434,0.388,0.324,0.072,0
2016,362162,0.762,3.844,3.44,0.389,0.324,0.073,0
2017,362162,0.743,3.172,4.406,0.389,0.324,0.073,0
2018,362162,0.917,3.172,4.406,0.389,0.324,0.073,0
1990,362174,51.272,210.273,159.915,21.761,15.768,4.453,0.396
1991,362174,51.272,211.647,151.982,21.602,15.768,4.312,0.511
1992,362174,51.272,198.087,160.927,21.823,15.768,4.17,0.626
1993,362174,51.272,179.972,148.563,21.453,15.768,4.028,0.741
1994,362174,51.272,177.463,151.091,21.615,15.768,3.887,0.856
1995,362174,51.272,181.551,162.856,21.168,15.768,3.745,0.971
1996,362174,51.272,197.184,170.619,21.42,15.768,3.902,1.119
1997,362174,51.272,210.408,155.393,23.224,15.768,4.06,1.266
1998,362174,51.272,213.394,151.241,23.79,15.768,4.217,1.414
1999,362174,51.272,211.018,142.099,23.05,15.768,4.374,1.561
2000,362174,51.272,229.061,137.676,23.6,15.768,4.531,1.709
2001,362174,49.354,225.75,130.156,24.715,15.768,4.651,1.691
2002,362174,50.806,209.342,140.431,24.494,15.768,4.771,1.673
2003,362174,46.819,205.85,143.672,25.271,15.768,4.891,1.656
2004,362174,48.723,206.941,144.379,23.939,15.656,5.011,1.638
2005,362174,44.808,198.353,146.146,23.041,15.656,5.131,1.62
2006,362174,53.271,172.503,154.16,23.309,15.656,5.405,1.516
2007,362174,47.945,173.272,152.538,18.658,15.656,5.68,1.411
2008,362174,43.787,171.953,157.802,18.432,15.656,5.955,1.306
2009,362174,44.236,145.651,176.786,21.295,15.656,6.229,1.201
2010,362174,43.655,159.853,170.363,24.358,15.632,6.504,1.097
2011,362174,41.532,167.391,166.171,17.708,15.632,6.091,0.914
2012,362174,39.138,187.169,154.636,17.526,15.632,5.678,0.731
2011,361210,1.045,2.998,2.976,0.317,0.28,0.355,0.005
2012,361210,1.049,3.353,2.77,0.314,0.28,0.292,0.004
2013,361210,1.227,3.1,2.862,0.314,0.28,0.229,0.003
2014,361210,1.087,3.394,2.496,0.308,0.28,0.166,0.002
2015,361210,1.057,3.317,2.968,0.335,0.28,0.103,0.001
2016,361210,0.991,3.322,2.972,0.336,0.28,0.04,0
2017,361210,0.994,2.741,3.807,0.336,0.28,0.04,0
2018,361210,1.19,2.741,3.807,0.336,0.28,0.04,0
1990,361226,13.561,39.633,30.141,4.102,2.972,1.675,0.788
1991,361226,13.561,39.892,28.646,4.072,2.972,1.624,0.833
1992,361226,13.561,37.336,30.332,4.113,2.972,1.573,0.878
1993,361226,13.561,33.922,28.002,4.043,2.972,1.522,0.924
1994,361226,13.561,33.449,28.478,4.074,2.972,1.471,0.969
1995,361226,13.561,34.219,30.696,3.99,2.972,1.42,1.014
1996,361226,13.561,37.166,32.159,4.037,2.972,1.475,1.029
1997,361226,13.561,39.658,29.289,4.377,2.972,1.53,1.044
1998,361226,13.561,40.221,28.506,4.484,2.972,1.585,1.059
1999,361226,13.561,39.773,26.783,4.344,2.972,1.64,1.074
2000,361226,13.561,43.174,25.95,4.448,2.972,1.695,1.089
2001,361226,13.172,42.55,24.532,4.658,2.972,1.629,1.097
2002,361226,12.809,39.457,26.469,4.617,2.972,1.562,1.104
2003,361226,12.021,38.799,27.08,4.763,2.972,1.496,1.111
2004,361226,11.832,39.125,27.297,4.526,2.96,1.43,1.118
2005,361226,11.472,37.502,27.631,4.356,2.96,1.364,1.126
2006,361226,12.708,32.614,29.146,4.407,2.96,1.441,1.048
2007,361226,12.602,32.76,28.84,3.528,2.96,1.519,0.97
2008,361226,11.302,32.51,29.835,3.485,2.96,1.597,0.892
2017,362311,1.09,3.29,4.569,0.403,0.336,0,0
2018,362311,1.31,3.29,4.569,0.403,0.336,0,0
1990,362405,1.19,4.321,3.286,0.447,0.324,0.026,1.307
1991,362405,1.19,4.349,3.123,0.444,0.324,0.061,1.277
1992,362405,1.19,4.07,3.307,0.448,0.324,0.096,1.247
1993,362405,1.19,3.698,3.053,0.441,0.324,0.131,1.217
1994,362405,1.19,3.647,3.105,0.444,0.324,0.166,1.187
1995,362405,1.19,3.731,3.346,0.435,0.324,0.202,1.157
1996,362405,1.19,4.002,3.463,0.435,0.32,0.17,1.209
1997,362405,1.19,4.27,3.154,0.471,0.32,0.138,1.261
1998,362405,1.19,4.331,3.069,0.483,0.32,0.107,1.313
1999,362405,1.19,4.282,2.884,0.468,0.32,0.075,1.365
